,Ville,Code,Ville+Code
1025,remigny,02440,remigny-02440
1026,mons-en-laonnois,02000,mons-en-laonnois-02000
1027,charly-sur-marne,02310,charly-sur-marne-02310
1028,château-thierry,02400,château-thierry-02400
1029,eppes,02840,eppes-02840
1030,vauxrezis,02200,vauxrezis-02200
1031,châtillon-lès-sons,02270,châtillon-lès-sons-02270
1032,vivières,02600,vivières-02600
1033,coyolles,02600,coyolles-02600
1034,rozières-sur-crise,02200,rozières-sur-crise-02200
1035,thenelles,02390,thenelles-02390
1036,nogentel,02400,nogentel-02400
1037,la chapelle-sur-chézy,02570,la chapelle-sur-chézy-02570
1038,concevreux,02160,concevreux-02160
1039,grandrieux,02360,grandrieux-02360
1040,origny-en-thiérache,02550,origny-en-thiérache-02550
1041,achery,02800,achery-02800
1042,lesdins,02100,lesdins-02100
1043,liez,02700,liez-02700
1044,haramont,02600,haramont-02600
1045,mennessis,02700,mennessis-02700
1046,levergies,02420,levergies-02420
1047,ollezy,02480,ollezy-02480
1048,colonfay,02120,colonfay-02120
1049,vauxbuin,02200,vauxbuin-02200
1050,la vallée-mulâtre,02110,la vallée-mulâtre-02110
1051,révillon,02160,révillon-02160
1052,watigny,02830,watigny-02830
1053,grand-verly,02120,grand-verly-02120
1054,troësnes,02460,troësnes-02460
1055,nouvion-et-catillon,02270,nouvion-et-catillon-02270
1056,villers-hélon,02600,villers-hélon-02600
1057,buironfosse,02620,buironfosse-02620
1058,courchamps,02810,courchamps-02810
1059,noyant-et-aconin,02200,noyant-et-aconin-02200
1060,saint-simon,02640,saint-simon-02640
1061,beautor,02800,beautor-02800
1062,presles-et-thierny,02860,presles-et-thierny-02860
1063,monceau-lès-leups,02270,monceau-lès-leups-02270
1064,montcornet,02340,montcornet-02340
1065,viels-maisons,02540,viels-maisons-02540
1066,marizy-sainte-geneviève,02470,marizy-sainte-geneviève-02470
1067,autreppes,02580,autreppes-02580
1068,moÿ-de-l'aisne,02610,moÿ-de-l'aisne-02610
1069,any-martin-rieux,02500,any-martin-rieux-02500
1070,esquéhéries,02170,esquéhéries-02170
1071,trosly-loire,02300,trosly-loire-02300
1072,fayet,02100,fayet-02100
1073,harcigny,02140,harcigny-02140
1074,itancourt,02240,itancourt-02240
1075,brie,02870,brie-02870
1076,hinacourt,02440,hinacourt-02440
1077,latilly,02210,latilly-02210
1078,holnon,02760,holnon-02760
1079,marchais,02350,marchais-02350
1080,parpeville,02240,parpeville-02240
1081,vic-sur-aisne,02290,vic-sur-aisne-02290
1082,vigneux-hocquet,02340,vigneux-hocquet-02340
1083,vézaponin,02290,vézaponin-02290
1084,braye-en-thiérache,02140,braye-en-thiérache-02140
1085,retheuil,02600,retheuil-02600
1086,fesmy-le-sart,02450,fesmy-le-sart-02450
1087,corbeny,02820,corbeny-02820
1088,fluquières,02590,fluquières-02590
1089,pont-saint-mard,02380,pont-saint-mard-02380
1090,montlevon,02330,montlevon-02330
1091,épagny,02290,épagny-02290
1092,vincy-reuil-et-magny,02340,vincy-reuil-et-magny-02340
1093,montigny-sous-marle,02250,montigny-sous-marle-02250
1094,bois-lès-pargny,02270,bois-lès-pargny-02270
1095,renneval,02340,renneval-02340
